15 a 17 - Taxa de Mortalidade por Neoplasias 
Tx Mort Total Neoplasias por Município e Ano
Período:2018
"Município";"2018";"Total"
"353760 Peruíbe";154,10;154,10
"353770 Piacatu";103,95;103,95
"353780 Piedade";105,20;105,20
"353790 Pilar do Sul";104,07;104,07
"353800 Pindamonhangaba";126,48;126,48
"353810 Pindorama";168,23;168,23
"353820 Pinhalzinho";83,14;83,14
"353830 Piquerobi";28,30;28,30
"353850 Piquete";131,21;131,21
"353860 Piracaia";107,49;107,49
"353870 Piracicaba";136,31;136,31
"353880 Piraju";154,00;154,00
"353890 Pirajuí";150,87;150,87
"353900 Pirangi";185,32;185,32
"353910 Pirapora do Bom Jesus";43,99;43,99
"353920 Pirapozinho";108,58;108,58
"353930 Pirassununga";142,41;142,41
"353940 Piratininga";138,60;138,60
"353950 Pitangueiras";144,99;144,99
"353960 Planalto";119,26;119,26
"353970 Platina";145,39;145,39
"353980 Poá";114,32;114,32
"353990 Poloni";124,67;124,67
"354000 Pompéia";137,92;137,92
"354010 Pongaí";148,46;148,46
"354020 Pontal";75,53;75,53
"354025 Pontalinda";90,72;90,72
"354030 Pontes Gestal";277,34;277,34
"354040 Populina";247,71;247,71
"354050 Porangaba";76,74;76,74
"354060 Porto Feliz";119,26;119,26
"354070 Porto Ferreira";136,18;136,18
"354075 Potim";88,09;88,09
"354080 Potirendaba";152,46;152,46
"354085 Pracinha";34,49;34,49
"354090 Pradópolis";118,53;118,53
"354100 Praia Grande";140,10;140,10
"354105 Pratânia";59,52;59,52
"354110 Presidente Alves";148,66;148,66
"354120 Presidente Bernardes";167,88;167,88
"354130 Presidente Epitácio";130,41;130,41
"354140 Presidente Prudente";130,41;130,41
"354150 Presidente Venceslau";128,95;128,95
"354160 Promissão";136,34;136,34
"354165 Quadra";27,65;27,65
"354170 Quatá";124,00;124,00
"354180 Queiroz";188,50;188,50
"354190 Queluz";96,74;96,74
"354200 Quintana";156,18;156,18
"354210 Rafard";89,96;89,96
"354220 Rancharia";152,63;152,63
"354230 Redenção da Serra";130,17;130,17
"354240 Regente Feijó";150,27;150,27
"354250 Reginópolis";138,27;138,27
"354260 Registro";151,48;151,48
"354270 Restinga";150,50;150,50
"354280 Ribeira";30,70;30,70
"354290 Ribeirão Bonito";140,72;140,72
"354300 Ribeirão Branco";135,52;135,52
"354310 Ribeirão Corrente";130,80;130,80
"354320 Ribeirão do Sul";228,78;228,78
"354323 Ribeirão dos Índios";232,77;232,77
"354325 Ribeirão Grande";106,77;106,77
"354330 Ribeirão Pires";109,40;109,40
"354340 Ribeirão Preto";140,77;140,77
"354360 Rifaina";144,51;144,51
"354370 Rincão";85,91;85,91
"354380 Rinópolis";112,74;112,74
"354390 Rio Claro";142,69;142,69
"354400 Rio das Pedras";104,50;104,50
"354410 Rio Grande da Serra";106,89;106,89
"354420 Riolândia";62,19;62,19
"354350 Riversul";155,74;155,74
"354425 Rosana";96,84;96,84
"354430 Roseira";182,01;182,01
"354440 Rubiácea";65,92;65,92
"354450 Rubinéia";202,22;202,22
"354460 Sabino";110,66;110,66
"354470 Sagres";42,32;42,32
"354480 Sales";151,46;151,46
"354490 Sales Oliveira";114,62;114,62
"354500 Salesópolis";84,39;84,39
"354510 Salmourão";158,32;158,32
"354515 Saltinho";168,37;168,37
"354520 Salto";119,03;119,03
"354530 Salto de Pirapora";140,45;140,45
"354540 Salto Grande";199,36;199,36
"354550 Sandovalina";73,03;73,03
"354560 Santa Adélia";128,49;128,49
"354570 Santa Albertina";175,90;175,90
"354580 Santa Bárbara d'Oeste";129,87;129,87
"354600 Santa Branca";120,58;120,58
"354610 Santa Clara d'Oeste";98,81;98,81
"354620 Santa Cruz da Conceição";116,82;116,82
"354625 Santa Cruz da Esperança";97,37;97,37
"354630 Santa Cruz das Palmeiras";121,26;121,26
"354640 Santa Cruz do Rio Pardo";118,24;118,24
"354650 Santa Ernestina";216,92;216,92
"354660 Santa Fé do Sul";173,75;173,75
"354670 Santa Gertrudes";67,28;67,28
"354680 Santa Isabel";99,65;99,65
"354690 Santa Lúcia";82,32;82,32
"354700 Santa Maria da Serra";166,89;166,89
"354710 Santa Mercedes";177,68;177,68
"354740 Santa Rita d'Oeste";164,47;164,47
"354750 Santa Rita do Passa Quatro";155,26;155,26
"354760 Santa Rosa de Viterbo";162,29;162,29
"354765 Santa Salete";138,60;138,60
"354720 Santana da Ponte Pensa";391,64;391,64
"354730 Santana de Parnaíba";103,54;103,54
"354770 Santo Anastácio";128,85;128,85
"354780 Santo André";154,51;154,51
"354790 Santo Antônio da Alegria";106,51;106,51
"354800 Santo Antônio de Posse";151,62;151,62
"354805 Santo Antônio do Aracanguá";122,93;122,93
"354810 Santo Antônio do Jardim";136,94;136,94
"354820 Santo Antônio do Pinhal";121,29;121,29
"354830 Santo Expedito";136,10;136,10
"354840 Santópolis do Aguapeí";65,32;65,32
"354850 Santos";185,87;185,87
"354860 São Bento do Sapucaí";76,12;76,12
"354870 São Bernardo do Campo";126,65;126,65
"354880 São Caetano do Sul";215,25;215,25
"354890 São Carlos";147,80;147,80
"354900 São Francisco";185,19;185,19
"354910 São João da Boa Vista";170,74;170,74
"354920 São João das Duas Pontes";120,39;120,39
"354925 São João de Iracema";108,81;108,81
"354930 São João do Pau d'Alho";199,50;199,50
"354940 São Joaquim da Barra";137,18;137,18
"354950 São José da Bela Vista";127,05;127,05
"354960 São José do Barreiro";147,46;147,46
"354970 São José do Rio Pardo";181,27;181,27
"354980 São José do Rio Preto";144,51;144,51
"354990 São José dos Campos";123,86;123,86
"354995 São Lourenço da Serra";65,59;65,59
"355000 São Luís do Paraitinga";132,94;132,94
"355010 São Manuel";195,80;195,80
"355020 São Miguel Arcanjo";122,36;122,36
"355030 São Paulo";134,66;134,66
"355040 São Pedro";207,56;207,56
"355050 São Pedro do Turvo";150,09;150,09
"355060 São Roque";104,84;104,84
"355070 São Sebastião";102,87;102,87
"355080 São Sebastião da Grama";158,97;158,97
"355090 São Simão";128,88;128,88
"355100 São Vicente";130,67;130,67
"355110 Sarapuí";80,89;80,89
"355120 Sarutaiá";27,48;27,48
"355130 Sebastianópolis do Sul";215,38;215,38
"355140 Serra Azul";132,56;132,56
"355160 Serra Negra";201,80;201,80
"355150 Serrana";94,57;94,57
"355170 Sertãozinho";106,56;106,56
"355180 Sete Barras";158,05;158,05
"355190 Severínia";83,30;83,30
"355200 Silveiras";49,01;49,01
"355210 Socorro";213,50;213,50
"355220 Sorocaba";136,10;136,10
"355230 Sud Mennucci";182,67;182,67
"355240 Sumaré";92,68;92,68
"355255 Suzanápolis";78,08;78,08
"355250 Suzano";102,01;102,01
"355260 Tabapuã";101,67;101,67
"355270 Tabatinga";102,18;102,18
"355280 Taboão da Serra";102,54;102,54
"355290 Taciba";83,51;83,51
"355300 Taguaí";124,67;124,67
"355310 Taiaçu";282,91;282,91
"355320 Taiúva";126,94;126,94
"355330 Tambaú";105,67;105,67
